site_id,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
屏東縣長治鄉,0.2042,0.6566,44,59.8,39.18,35.63,31.37,25.65,16.72,17.24,28.35,37.97,35.93,36.16,12813
屏東縣竹田鄉,0.1713,0.6755,47,57.6,41.44,36.56,32.7,29.77,15.87,20.6,29.09,39.82,37.63,38.23,7906
臺北市北投區,0.3664,0.6646,41.2402,69.9,36.05,34.22,32.01,24.99,20.55,20.81,30.15,40.11,38.71,40.05,111144
臺北市大安區,0.5283,0.6782,43.4713,86.1,36.16,35.04,33.14,23.06,21.12,21.61,32.02,41.43,40.1,41.77,136975
臺北市大同區,0.3297,0.6558,42,65,36.63,34.11,31.74,29.48,21.94,22.4,29.14,39.51,37.61,39.22,57266
臺北市南港區,0.3563,0.6679,40.72,68.9,37.49,35.07,32.58,24.87,21.45,21.89,31.3,42.41,40.92,41.92,55226
臺北市內湖區,0.4137,0.6606,39.9311,77.3,36.55,35.13,33.55,24.08,21.99,22.18,32.32,42.71,41.36,42.74,129812
臺北市士林區,0.3734,0.6621,42,69.9,36.56,34.22,32.32,26.4,20.95,21.44,29.77,39.76,38.34,39.53,127649
臺北市松山區,0.4795,0.6747,43,81.4,37.27,35.94,34.06,24.15,21.68,22.03,32.61,42.74,41.56,42.93,94042
臺北市萬華區,0.2926,0.6589,43.5458,61.5,36.33,33.72,31.03,25.55,19.55,20.26,29.14,39.25,37.76,38.95,83970
臺北市文山區,0.4236,0.6654,41.4738,76.3,38.22,37,34.71,22.33,20.98,21.62,34.1,44.53,43.21,44.16,127462
臺北市信義區,0.4174,0.6663,43,72.9,37.42,35.37,33,23.89,20.76,21.07,32.02,42.09,40.94,42.14,103405
臺北市中山區,0.4182,0.6584,43.1065,73,35.59,33.98,31.84,25.84,21.33,21.82,30.03,40.3,38.77,40.18,103699
臺北市中正區,0.4746,0.6763,41.6247,81.6,37.28,35.59,33.41,24.2,20.89,21.54,32.39,42.16,40.45,42.26,70448
臺東縣卑南鄉,0.1155,0.648,44,54,38.37,34.68,30.4,20.46,13.06,14.1,27.14,36.68,35.09,35.12,6971
臺東縣成功鎮,0.0972,0.6723,46.0302,52.3,37.77,34.88,28.94,15.76,9.57,9.79,26.01,33.45,32.27,32.46,5263
臺東縣池上鄉,0.1133,0.6772,46.75,52.6,32.91,28.5,23.79,18.05,11.42,12.48,23.82,32.85,30.84,30.44,2938
臺東縣達仁鄉,0.0914,0.6515,42,58.8,46.09,42.27,38.48,16.32,11.89,12.18,23.97,39.53,41.15,37.97,1577
臺東縣大武鄉,0.1005,0.6669,43,54.1,39.35,35.59,36.14,17.38,11.79,12.08,23.09,31.48,29.95,29.68,2143
臺東縣東河鄉,0.0902,0.6763,49,50.4,32.82,29.88,26.06,15.87,10.32,10.88,21.34,28.15,27.33,26.68,2785
臺東縣關山鎮,0.1461,0.6533,45,55,36.33,33.16,28.18,17.81,12.31,13.74,28.05,37.5,35.45,35.48,3447
臺東縣海端鄉,0.0998,0.6083,35,58.9,42.16,37.07,30.57,15.95,10.71,11.38,26.08,35.11,34.44,33.62,1534
臺東縣金峰鄉,0.1025,0.6322,37.9286,59.9,50.43,47.06,42.44,15.62,14.96,14.99,27.97,36,35.01,33.39,1408
臺東縣蘭嶼鄉,0.1501,0.595,36,60.6,29.11,23.89,20.43,15.43,9.97,10.81,15.16,24.4,23.7,23.25,1404
臺東縣鹿野鄉,0.1128,0.6759,46.3125,54.1,31.57,28.47,24.35,18.93,12.46,12.92,23.49,30.48,28.99,29.37,2788
臺東縣綠島鄉,0.2087,0.6391,39,69.8,30.71,29.28,26.4,14.53,13.44,13.05,25.2,33.05,32.05,31.82,1459
臺東縣臺東市,0.2079,0.6337,41,60.2,40.73,37.52,32.94,19.35,13.8,14.8,30.86,40.58,39.33,39.18,44054
臺東縣太麻里鄉,0.0971,0.6731,44.2705,55,42.71,39.23,34.91,18.82,11.37,11.87,24.41,32.37,31.01,31.13,4027
臺東縣延平鄉,0.1142,0.6271,37.5,55.7,45.26,40.14,36.25,15.77,12.01,11.43,25.12,34.4,33.24,33.41,1319
臺東縣長濱鄉,0.0764,0.6741,50.0984,48.7,31.42,28.87,25.03,14.3,8.67,9.15,19.57,26,24.52,24.34,2182
臺南市安定區,0.2081,0.6684,41,56.3,38.77,36.23,32.78,28.35,15.51,16.61,26.82,37.06,34.79,36.28,12476
臺南市安南區,0.2441,0.6413,38.0657,56.9,36.87,33.86,31.26,27.11,16.45,17.19,26.87,36.73,34.36,35.91,75649
臺南市安平區,0.3039,0.6336,40,64.6,34.4,32.77,30.8,24.8,17.01,17.66,26.63,36.09,34.42,35.52,25909
臺南市白河區,0.1546,0.6952,48.4937,53.3,32.04,28.33,25.36,25.23,12.78,13.96,21.27,28.58,26.85,28.04,9309
臺南市北門區,0.1439,0.7056,47,52.2,32.66,28.99,26.12,23.21,12.46,11.48,21.05,28.12,26.33,26.83,3505
臺南市北區,0.3237,0.6417,41.1751,64.4,37.55,35.1,32.99,26.49,18,18.65,28.03,37.69,35.89,37.52,54688
臺南市大內區,0.132,0.7156,49.2286,51.7,36.98,32.63,28.56,26.77,12.43,13.53,24.38,33.14,30.78,31.41,3576
臺南市東區,0.3809,0.6356,40.7499,69.7,37.18,35.16,33.4,25.56,18.19,19.31,29.01,38.64,36.97,38.3,77421
臺南市東山區,0.134,0.7108,48.8694,52.8,29.03,25.73,22.77,20.7,10.31,11.31,18.26,25.12,23.34,24.07,5978
臺南市官田區,0.2064,0.6774,44,56.3,35.47,31.67,28.47,28.78,16.46,16.43,24.73,32.81,30.46,31.96,8062
臺南市關廟區,0.1883,0.6718,43.5736,53.9,39.3,35.07,31.95,27.71,15.43,16.54,27.42,36.83,34.67,35.46,14154
臺南市歸仁區,0.2454,0.6536,39.4093,59,37.85,34.61,32.17,27.37,17.4,17.4,27.17,36.82,35.06,36.18,27444
臺南市後壁區,0.1708,0.7056,49,56,34.33,30.47,27.39,27.01,13.11,14.27,22.15,30.63,28.6,30.18,8173
臺南市佳里區,0.253,0.6612,41,57.5,38.03,34.67,31.53,27.93,15.8,16.9,27.72,37.71,35.31,36.29,23967
臺南市將軍區,0.1424,0.6947,47.9475,50.6,33.63,32.57,28.67,27.32,12.35,11.79,22.33,28.97,27.58,28.57,6550
臺南市柳營區,0.1989,0.6798,45.8282,57.5,36.31,32.54,29.19,26.52,13.86,15.27,25.18,34.12,32.16,32.72,8116
臺南市六甲區,0.212,0.6731,43.5436,57,32.7,30.08,26.04,27.07,14.87,16.7,23.89,32.77,30.62,31.69,8208
臺南市龍崎區,0.1135,0.7555,53,51.8,38,33.56,29.79,24.21,13.01,13.06,24.32,32.35,30.62,32.08,1531
臺南市麻豆區,0.2416,0.6761,43,58.1,35.3,31.63,28.62,30.52,15.95,17.44,24.78,33.63,31.88,32.67,16730
臺南市南化區,0.1391,0.719,48,52.1,35.73,31.29,26.66,21.71,12.51,13.54,24.18,33.15,31.49,31.54,3275
臺南市南區,0.2595,0.6315,42.3619,55.4,36.37,34.04,31.95,27.08,16.1,16.64,25.68,34.88,33.15,34.24,49872
臺南市楠西區,0.1309,0.7071,49,50.6,34.49,31.09,26.48,19.35,10.46,11.67,23.35,31.04,29.71,30.16,3343
臺南市七股區,0.1393,0.6932,46.5186,50.7,36.38,33.04,30.25,27.06,13.05,13.65,22.61,30.52,28.45,28.84,7689
臺南市仁德區,0.2563,0.6616,40.6964,59.3,38.7,35.69,32.93,25.61,16.16,16.74,27.55,37.51,35.72,37.15,31093
臺南市山上區,0.176,0.6866,46.0543,53.1,32.78,29.1,25.76,24.39,13.09,14.25,22.38,30.1,28.01,28.77,2502
臺南市善化區,0.2966,0.683,39,70,35.75,33.5,30.75,26.82,16.9,17.75,25.8,35.38,33.52,34.69,18466
臺南市西港區,0.1999,0.6625,42.6062,52.9,34.36,30.72,27.67,26.6,14.35,15.1,23.79,32.6,31.14,31.13,8927
臺南市下營區,0.1914,0.6947,46,56.3,34.75,31.69,27.89,27.36,14.17,14.76,23.88,32.15,30.19,30.76,8561
臺南市新化區,0.2291,0.658,42,55.5,38.97,35.84,31.86,26.4,16.06,17.51,26.98,37.45,35.55,36.33,17848
臺南市新市區,0.2667,0.6636,38.7462,59.8,38.28,35.62,31.87,28.53,16.39,17.69,27.52,37.18,35.52,37.18,14807
臺南市新營區,0.3002,0.6503,41,63.6,35.3,32.38,29.48,24.13,15.4,16.69,27.24,35.93,34.49,35.27,29577
臺南市學甲區,0.2011,0.6665,44.2163,54.6,35.45,31.71,28.19,27.19,13.6,14.88,24.42,32.99,31.05,32.43,9589
臺南市鹽水區,0.1898,0.6777,45,55.3,35.16,31.24,28.13,27.5,14.2,15.86,23.86,32.53,30.48,31.52,9312
臺南市永康區,0.2883,0.6457,38.8631,61.9,36.44,34.02,31.36,24.8,16.86,17.52,27.61,37.45,35.64,36.68,93196
